Local Government Area,Offence type,Jan - Dec 2015,Jan - Dec 2016,Jan - Dec 2017,Jan - Dec 2018,Jan - Dec 2019,"Rate per 100,000 population Jan - Dec 2019",2 year trend and annual percent change (Jan 2018-Dec 2019),5 year trend and average annual percent change (Jan 2015-Dec 2019)
Albury,Murder *,0,2,0,1,0,nc,nc,nc
Albury,Attempted murder,0,1,0,0,1,1.9,nc,nc
Albury,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Albury,Manslaughter *,0,0,0,0,0,nc,nc,nc
Albury,Domestic violence related assault,268,284,278,286,297,552.4,Stable,Stable
Albury,Non-domestic violence related assault,331,296,329,332,347,645.4,Stable,Stable
Albury,Assault Police,31,25,20,30,30,55.8,Stable,Stable
Albury,Sexual assault,50,47,58,51,67,124.6,Stable,Up 7.6%
Albury,"Indecent assault, act of indecency and other sexual offences",80,68,94,85,88,163.7,Stable,Stable
Albury,Abduction and kidnapping,3,2,2,1,5,9.3,nc,nc
Albury,Robbery without a weapon,8,12,9,17,18,33.5,nc,nc
Albury,Robbery with a firearm,0,3,2,2,0,nc,nc,nc
Albury,Robbery with a weapon not a firearm,5,6,2,8,9,16.7,nc,nc
Albury,Blackmail and extortion,1,0,0,0,1,1.9,nc,nc
Albury,"Intimidation, stalking and harassment",285,315,329,290,329,611.9,Stable,Stable
Albury,Other offences against the person,6,12,5,7,21,39.1,nc,nc
Albury,Break and enter dwelling,309,376,367,324,436,810.9,Up 34.6%,Up 9.0%
Albury,Break and enter non-dwelling,133,142,132,127,154,286.4,Stable,Stable
Albury,Receiving or handling stolen goods,65,62,68,80,86,159.9,Stable,Stable
Albury,Motor vehicle theft,117,106,151,128,196,364.5,Up 53.1%,Up 13.8%
Albury,Steal from motor vehicle,361,554,623,524,739,1374.4,Stable,Up 19.6%
Albury,Steal from retail store,246,301,245,401,310,576.6,Stable,Up 6.0%
Albury,Steal from dwelling,207,246,246,240,242,450.1,Stable,Stable
Albury,Steal from person,38,26,14,30,13,24.2,nc,nc
Albury,Stock theft,2,2,2,1,0,nc,nc,nc
Albury,Fraud,280,274,368,322,498,926.2,Up 54.7%,Up 15.5%
Albury,Other theft,236,211,202,219,235,437.1,Stable,Stable
Albury,Arson,46,33,56,59,57,106,Stable,Stable
Albury,Malicious damage to property,752,685,716,630,751,1396.8,Up 19.2%,Stable
Albury,Possession and/or use of cocaine,0,1,1,4,6,11.2,nc,nc
Albury,Possession and/or use of narcotics,2,6,2,2,4,7.4,nc,nc
Albury,Possession and/or use of cannabis,153,169,97,109,143,266,Stable,Stable
Albury,Possession and/or use of amphetamines,78,106,48,67,96,178.5,Stable,Stable
Albury,Possession and/or use of ecstasy,21,14,10,15,11,20.5,nc,nc
Albury,Possession and/or use of other drugs,28,33,19,15,25,46.5,nc,nc
Albury,"Dealing, trafficking in cocaine",0,0,1,4,0,nc,nc,nc
Albury,"Dealing, trafficking in narcotics",0,2,3,0,0,nc,nc,nc
Albury,"Dealing, trafficking in cannabis",10,134,32,5,17,31.6,nc,nc
Albury,"Dealing, trafficking in amphetamines",234,75,29,210,86,159.9,Stable,Stable
Albury,"Dealing, trafficking in ecstasy",8,5,11,4,8,14.9,nc,nc
Albury,"Dealing, trafficking in other drugs",5,5,0,0,7,13,nc,nc
Albury,Cultivating cannabis,6,17,3,10,16,29.8,nc,nc
Albury,Manufacture drug,0,0,1,0,0,nc,nc,nc
Albury,Importing drugs,0,0,0,0,0,nc,nc,nc
Albury,Other drug offences,73,78,38,52,37,68.8,Stable,Down 15.6%
Albury,Prohibited and regulated weapons offences,169,165,146,190,219,407.3,Stable,Up 6.7%
Albury,Trespass,93,87,101,97,101,187.8,Stable,Stable
Albury,Offensive conduct,98,76,71,68,58,107.9,Stable,Down 12.3%
Albury,Offensive language,58,34,25,30,34,63.2,Stable,Down 12.5%
Albury,Criminal intent,26,30,22,17,34,63.2,nc,nc
Albury,Betting and gaming offences,0,1,1,8,1,1.9,nc,nc
Albury,Liquor offences,102,122,89,69,42,78.1,Down 39.1%,Down 19.9%
Albury,Pornography offences,9,11,11,13,10,18.6,nc,nc
Albury,Prostitution offences,1,1,3,0,1,1.9,nc,nc
Albury,Escape custody,3,1,0,3,2,3.7,nc,nc
Albury,Breach Apprehended Violence Order,176,189,192,208,258,479.8,Stable,Up 10.0%
Albury,Breach bail conditions,405,526,708,777,558,1037.8,Stable,Stable
Albury,Fail to appear,7,29,5,6,5,9.3,nc,nc
Albury,Resist or hinder officer,82,86,65,69,92,171.1,Stable,Stable
Albury,Other offences against justice procedures,18,22,17,22,37,68.8,Stable,nc
Albury,Transport regulatory offences,15,7,17,14,8,14.9,nc,nc
Albury,Other offences,142,108,115,126,106,197.1,Stable,Stable
Armidale Regional,Murder *,0,0,1,0,0,nc,nc,nc
Armidale Regional,Attempted murder,0,0,0,0,0,nc,nc,nc
Armidale Regional,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Armidale Regional,Manslaughter *,0,0,0,0,0,nc,nc,nc
Armidale Regional,Domestic violence related assault,205,152,183,203,200,651.3,Stable,Stable
Armidale Regional,Non-domestic violence related assault,189,200,209,185,200,651.3,Stable,Stable
Armidale Regional,Assault Police,7,6,6,8,8,26.1,nc,nc
