rank,suburb,median_value_aud
 1,Point Piper,"$23,966,600"
 2,Elizabeth Bay,"$8,881,200"
 3,Watsons Bay,"$8,406,600"
 4,Duffys Forest,"$7,328,300"
 5,Lavender Bay,"$6,858,000"
 6,Bellevue Hill,"$6,460,200"
 7,Rose Bay,"$5,554,800"
 8,Vaucluse,"$5,437,700"
 9,Sydney,"$5,330,000"
 10,Darling Point,"$5,291,600"
 11,Dorroughby,"$4,883,300"
 12,Cabarita Beach,"$4,181,600"
 13,St Leonards,"$4,142,400"
 14,Centennial Park,"$4,034,100"
 15,Whale Beach,"$3,974,000"
 16,Dawes Point,"$3,925,000"
 17,Double Bay,"$3,781,600"
 18,Tamarama,"$3,750,000"
 19,McMahons Point,"$3,645,500"
 20,Henley,"$3,615,000"
 21,Palm Beach,"$3,609,500"
 22,Northbridge,"$3,600,700"
 23,Mosman,"$3,571,700"
 24,Kangaroo Point,"$3,552,500"
 25,Tennyson Point,"$3,505,800"
 26,Bronte,"$3,412,900"
 27,Clontarf,"$3,278,400"
 28,Castle Cove,"$3,261,600"
 29,Woolwich,"$3,240,000"
 30,Warrawee,"$3,230,600"
 31,Collaroy,"$3,222,700"
 32,Clovelly,"$3,173,900"
 33,Linley Point,"$3,090,600"
 34,Cremorne Point,"$3,087,500"
 35,Longueville,"$3,080,400"
 36,Breakfast Point,"$3,073,600"
 37,Annangrove,"$3,060,600"
 38,Kurraba Point,"$3,059,100"
 39,South Coogee,"$3,037,100"
 40,Menangle Park,"$3,033,300"
 41,Woollahra,"$3,016,400"
 42,Bilgola Beach,"$2,995,200"
 43,Hunters Hill,"$2,975,200"
 44,Bondi,"$2,958,600"
 45,Kangaloon,"$2,949,500"
 46,Queens Park,"$2,941,500"
 47,Castlecrag,"$2,894,500"
 48,Roseville,"$2,883,100"
 49,Coorabell,"$2,871,300"
 50,Brownlow Hill,"$2,870,300"
 51,North Sydney,"$2,858,800"
 52,Manly,"$2,845,000"
 53,Northwood,"$2,800,000"
 54,Cabarita,"$2,744,600"
 55,Waverton,"$2,735,000"
 56,Killara,"$2,733,300"
 57,Dover Heights,"$2,730,100"
 58,Lovett Bay,"$2,713,600"
 59,Coopers Shoot,"$2,710,000"
 60,Rhodes,"$2,704,000"
 61,Queenscliff,"$2,679,000"
 62,Waverley,"$2,677,200"
 63,Balmain East,"$2,658,700"
 64,Ingleside,"$2,657,300"
 65,Strathfield,"$2,655,800"
 66,Horsley Park,"$2,652,000"
 67,Kirribilli,"$2,650,000"
 68,Lindfield,"$2,639,600"
 69,East Killara,"$2,623,700"
 70,Chiswick,"$2,621,200"
 71,Millers Point,"$2,601,600"
 72,Kensington,"$2,592,400"
 73,North Willoughby,"$2,574,000"
 74,Greenwich,"$2,573,100"
 75,Cremorne,"$2,565,200"
 76,Riverview,"$2,561,400"
 77,East Lindfield,"$2,536,700"
 78,Seaforth,"$2,531,500"
 79,North Bondi,"$2,517,800"
 80,Randwick,"$2,515,400"
 81,Willoughby East,"$2,508,300"
 82,Pymble,"$2,473,700"
 83,Burwood,"$2,466,800"
 84,Putney,"$2,462,300"
 85,Curl Curl,"$2,460,100"
 86,Bondi Beach,"$2,457,800"
 87,Coogee,"$2,443,600"
 88,Potts Point,"$2,443,300"
 89,Willoughby,"$2,442,500"
 90,Balgowlah Heights,"$2,430,300"
 91,Burraneer,"$2,406,400"
 92,North Curl Curl,"$2,389,200"
 93,Artarmon,"$2,378,400"
 94,Roseville Chase,"$2,370,000"
 95,Chatswood,"$2,366,400"
 96,Eraring,"$2,353,300"
 97,Possum Creek,"$2,330,000"
 98,Greenhills Beach,"$2,309,700"
 99,Mount Vernon,"$2,303,300"
 100,Freshwater,"$2,299,600"
 101,Edgecliff,"$2,291,500"
 102,Wollstonecraft,"$2,274,200"
 103,Kemps Creek,"$2,273,300"
 104,Banksmeadow,"$2,270,000"
 104,Fairlight,"$2,270,000"
 106,Rossmore,"$2,266,600"
 107,Lindifferon,"$2,256,400"
 108,Neutral Bay,"$2,254,400"
 109,Paddington,"$2,247,900"
 110,Gordon,"$2,242,000"
 111,Bringelly,"$2,233,300"
 112,Cottage Point,"$2,226,300"
 113,Kenthurst,"$2,221,200"
 114,Clareville,"$2,200,900"
 115,Connells Point,"$2,194,600"
 116,Elong Elong,"$2,190,000"
 117,Lane Cove West,"$2,173,700"
 118,Cheltenham,"$2,151,600"
 119,Maroubra,"$2,139,500"
 120,Dolans Bay,"$2,130,000"
 121,Kyle Bay,"$2,126,700"
 122,Avalon,"$2,126,200"
 123,North Turramurra,"$2,114,100"
 124,Drummoyne,"$2,097,800"
 125,Middle Dural,"$2,097,000"
 126,Yowie Bay,"$2,086,000"
 127,Crows Nest,"$2,083,500"
 128,North Balgowlah,"$2,074,400"
 129,Underbank,"$2,070,800"
 130,St Ives Chase,"$2,070,000"
 131,Birchgrove,"$2,061,800"
 132,Newrybar,"$2,056,600"
 133,Bondi Junction,"$2,050,200"
 134,Somersby,"$2,045,000"
 135,Cammeray,"$2,042,900"
 136,Naremburn,"$2,041,300"
 137,Wareemba,"$2,032,100"
 138,Lane Cove,"$2,024,200"
 139,Balgowlah,"$1,998,000"
 140,Malabar,"$1,995,300"
 141,Haberfield,"$1,966,200"
 142,Sandringham,"$1,964,200"
 143,Cronulla,"$1,956,800"
 144,Bayview,"$1,952,100"
 145,Rodd Point,"$1,948,300"
 146,Cecil Park,"$1,946,600"
 147,Newport,"$1,942,900"
 148,Kingsford,"$1,942,600"
 149,Burwood Heights,"$1,936,600"
 150,North Manly,"$1,934,300"
 151,Wahroonga,"$1,933,000"
 152,Abbotsford,"$1,931,800"
 153,Avalon Beach,"$1,928,900"
 154,Canada Bay,"$1,924,100"
 155,Lane Cove North,"$1,919,000"
 156,Glebe,"$1,916,300"
 157,Bar Beach,"$1,915,000"
 158,St Ives,"$1,914,100"
 159,Turramurra,"$1,908,300"
 160,Ewingsdale,"$1,902,500"
 161,Balmain,"$1,889,900"
 162,Darlinghurst,"$1,888,600"
 163,Maraylya,"$1,884,000"
 164,Collaroy Plateau,"$1,878,000"
 165,Bilgola,"$1,873,800"
 166,Rosebery,"$1,858,000"
 167,Killarney Heights,"$1,857,400"
 168,Theresa Park,"$1,851,600"
 169,Little Bay,"$1,848,400"
 170,Church Point,"$1,843,400"
 171,Manly Vale,"$1,839,200"
 172,Middle Cove,"$1,835,000"
 173,Concord,"$1,832,700"
 174,Russell Lea,"$1,818,500"
 175,Concord West,"$1,817,400"
 176,Wilsons Creek,"$1,816,600"
 177,Kogarah Bay,"$1,814,300"
 178,Far Meadow,"$1,806,200"
 179,Gladesville,"$1,802,200"
 180,Maroota,"$1,790,000"
 181,Orchard Hills,"$1,786,000"
 182,Annandale,"$1,781,200"
 183,Dee Why,"$1,772,100"
 184,Huntleys Cove,"$1,772,000"
 185,Mulgoa,"$1,768,800"
 186,Burradoo,"$1,767,400"
 187,Chatswood West,"$1,765,300"
 188,Bella Vista,"$1,759,500"
 189,Windsor Downs,"$1,756,600"
 190,Glenorie,"$1,746,800"
 191,Rozelle,"$1,736,700"
 192,Kirkham,"$1,736,600"
 193,Cattai,"$1,731,600"
 194,Bilgola Plateau,"$1,730,700"
 195,Pleasure Point,"$1,730,000"
 196,Dural,"$1,726,900"
 197,Chifley,"$1,719,500"
 198,Oatley,"$1,715,200"
 199,Surry Hills,"$1,714,600"
 200,Holgate,"$1,713,700"
 201,North Wahroonga,"$1,711,600"
 202,Point Frederick,"$1,710,200"
 203,Lilyfield,"$1,706,700"
